timestep,episode,reward,length,mean_reward,mean_length
162,1,3.0,162,3.0,162.0
335,2,6.0,173,4.5,167.5
532,3,5.0,197,4.6666665,177.33333333333334
713,4,4.0,181,4.5,178.25
865,5,6.0,152,4.8,173.0
894,6,0.0,29,4.0,149.0
936,7,1.0,42,3.5714285,133.71428571428572
984,8,1.0,48,3.25,123.0
1160,9,6.0,176,3.5555556,128.88888888888889
1325,10,3.0,165,3.5,132.5
1516,11,4.0,191,3.5454545,137.8181818181818
1567,12,1.0,51,3.3333333,130.58333333333334
1694,13,3.0,127,3.3076923,130.30769230769232
1835,14,3.0,141,3.2857144,131.07142857142858
2016,15,5.0,181,3.4,134.4
2157,16,3.0,141,3.375,134.8125
2220,17,1.0,63,3.235294,130.58823529411765
2334,18,4.0,114,3.2777777,129.66666666666666
2470,19,2.0,136,3.2105262,130.0
2512,20,0.0,42,3.05,125.6
2689,21,3.0,177,3.047619,128.04761904761904
2830,22,6.0,141,3.1818182,128.63636363636363
2979,23,2.0,149,3.1304348,129.52173913043478
3010,24,2.0,31,3.0833333,125.41666666666667
3172,25,5.0,162,3.16,126.88
3385,26,4.0,213,3.1923077,130.19230769230768
3518,27,0.0,133,3.074074,130.2962962962963
3573,28,0.0,55,2.9642856,127.60714285714286
3755,29,4.0,182,3.0,129.48275862068965
3920,30,5.0,165,3.0666666,130.66666666666666
4109,31,3.0,189,3.064516,132.5483870967742
4234,32,2.0,125,3.03125,132.3125
4413,33,4.0,179,3.060606,133.72727272727272
4562,34,3.0,149,3.0588236,134.1764705882353
4759,35,5.0,197,3.1142857,135.97142857142856
4916,36,4.0,157,3.1388888,136.55555555555554
5076,37,2.0,160,3.108108,137.1891891891892
5201,38,1.0,125,3.0526316,136.8684210526316
5382,39,4.0,181,3.0769231,138.0
5579,40,2.0,197,3.05,139.475
5740,41,4.0,161,3.0731707,140.0
5873,42,1.0,133,3.0238094,139.83333333333334
6014,43,2.0,141,3.0,139.86046511627907
6163,44,6.0,149,3.0681818,140.0681818181818
6338,45,8.0,175,3.1777778,140.84444444444443
6463,46,1.0,125,3.1304348,140.5
6604,47,0.0,141,3.06383,140.51063829787233
6809,48,4.0,205,3.0833333,141.85416666666666
6956,49,4.0,147,3.1020408,141.9591836734694
7121,50,5.0,165,3.14,142.42
7286,51,1.0,165,3.0980392,142.86274509803923
7435,52,4.0,149,3.1153846,142.98076923076923
7565,53,2.0,130,3.0943396,142.73584905660377
7738,54,1.0,173,3.0555556,143.2962962962963
7935,55,6.0,197,3.1090908,144.27272727272728
8084,56,3.0,149,3.107143,144.35714285714286
8243,57,3.0,159,3.1052632,144.6140350877193
8368,58,2.0,125,3.086207,144.27586206896552
8509,59,1.0,141,3.0508475,144.22033898305085
8658,60,3.0,149,3.05,144.3
8817,61,6.0,159,3.0983605,144.54098360655738
8950,62,3.0,133,3.096774,144.3548387096774
9099,63,2.0,149,3.079365,144.42857142857142
9256,64,3.0,157,3.078125,144.625
9404,65,2.0,148,3.0615385,144.6769230769231
9585,66,6.0,181,3.1060605,145.22727272727272
9750,67,1.0,165,3.074627,145.52238805970148
9883,68,0.0,133,3.0294118,145.33823529411765
9942,69,1.0,59,3.0,144.08695652173913
10099,70,2.0,157,2.9857142,144.27142857142857
10133,71,0.0,34,2.943662,142.71830985915494
10189,72,1.0,56,2.9166667,141.51388888888889
10369,73,2.0,180,2.9041095,142.04109589041096
10494,74,3.0,125,2.9054055,141.8108108108108
10795,75,3.0,301,2.9066668,143.93333333333334
11040,76,3.0,245,2.9078948,145.26315789473685
11217,77,6.0,177,2.948052,145.67532467532467
11353,78,2.0,136,2.9358974,145.55128205128204
11427,79,1.0,74,2.9113925,144.64556962025316
11680,80,5.0,253,2.9375,146.0
11740,81,2.0,60,2.925926,144.93827160493828
11769,82,1.0,29,2.902439,143.52439024390245
11915,83,1.0,146,2.879518,143.55421686746988
12019,84,3.0,104,2.8809524,143.08333333333334
12297,85,3.0,278,2.8823528,144.6705882352941
12502,86,3.0,205,2.8837209,145.37209302325581
12614,87,1.0,112,2.862069,144.98850574712642
12784,88,2.0,170,2.8522727,145.27272727272728
12905,89,5.0,121,2.8764045,145.0
12972,90,3.0,67,2.8777778,144.13333333333333
13043,91,2.0,71,2.8681319,143.32967032967034
13126,92,1.0,83,2.847826,142.67391304347825
13253,93,3.0,127,2.8494623,142.50537634408602
13442,94,6.0,189,2.8829787,143.0
13594,95,1.0,152,2.863158,143.09473684210528
13732,96,0.0,138,2.8333333,143.04166666666666
13976,97,2.0,244,2.8247423,144.08247422680412
14325,98,4.0,349,2.8367348,146.1734693877551
14554,99,4.0,229,2.8484848,147.010101010101
14585,100,1.0,31,2.83,145.85
14801,101,5.0,216,2.85,146.39
14974,102,7.0,173,2.86,146.39
14989,103,0.0,15,2.81,144.57
15512,104,8.0,523,2.85,147.99
16059,105,8.0,547,2.87,151.94
16232,106,3.0,173,2.9,153.38
16485,107,3.0,253,2.92,155.49
16770,108,2.0,285,2.93,157.86
17126,109,3.0,356,2.9,159.66
17395,110,2.0,269,2.89,160.7
17560,111,0.0,165,2.85,160.44
17656,112,2.0,96,2.86,160.89
17879,113,2.0,223,2.85,161.85
17908,114,0.0,29,2.82,160.73
17937,115,0.0,29,2.77,159.21
18235,116,3.0,298,2.77,160.78
18859,117,10.0,624,2.86,166.39
19090,118,3.0,231,2.85,167.56
19760,119,4.0,670,2.87,172.9
19949,120,0.0,189,2.87,174.37
20121,121,2.0,172,2.86,174.32
20168,122,0.0,47,2.8,173.38
20331,123,2.0,163,2.8,173.52
20450,124,1.0,119,2.79,174.4
20639,125,1.0,189,2.75,174.67
20993,126,5.0,354,2.76,176.08
21358,127,4.0,365,2.8,178.4
21547,128,6.0,189,2.86,179.74
21609,129,0.0,62,2.82,178.54
22115,130,4.0,506,2.81,181.95
22288,131,4.0,173,2.82,181.79
22413,132,1.0,125,2.81,181.79
22675,133,5.0,262,2.82,182.62
22984,134,6.0,309,2.85,184.22
23269,135,5.0,285,2.85,185.1
23434,136,1.0,165,2.82,185.18
