timestep,episode,reward,mean_reward
178,1,42.0,42.0
281,2,42.0,42.0
356,3,63.0,49.0
529,4,63.0,52.5
585,5,21.0,46.2
614,6,42.0,45.5
768,7,42.0,45.0
957,8,63.0,47.25
1085,9,63.0,49.0
1250,10,84.0,52.5
1423,11,105.0,57.272728
1588,12,63.0,57.75
1731,13,63.0,58.153847
1872,14,42.0,57.0
2021,15,84.0,58.8
2178,16,0.0,55.125
2342,17,105.0,58.058823
2483,18,105.0,60.666668
2648,19,63.0,60.789474
2821,20,105.0,63.0
2950,21,63.0,63.0
3069,22,42.0,62.045456
3112,23,0.0,59.347828
3288,24,105.0,61.25
3412,25,105.0,63.0
3463,26,21.0,61.384617
3636,27,63.0,61.444443
3817,28,42.0,60.75
3983,29,84.0,61.551723
4148,30,42.0,60.9
4289,31,84.0,61.64516
4446,32,126.0,63.65625
4507,33,42.0,63.0
4638,34,63.0,63.0
4819,35,105.0,64.2
4968,36,168.0,67.083336
5179,37,126.0,68.675674
5328,38,84.0,69.07895
5477,39,21.0,67.84615
5628,40,21.0,66.675
5790,41,84.0,67.097565
5931,42,21.0,66.0
6104,43,105.0,66.906975
6285,44,84.0,67.295456
6428,45,63.0,67.2
6657,46,126.0,68.478264
6830,47,84.0,68.80851
7003,48,84.0,69.125
7146,49,42.0,68.57143
7250,50,63.0,68.46
7300,51,0.0,67.117645
7468,52,63.0,67.03846
7600,53,63.0,66.962265
7749,54,42.0,66.5
7813,55,42.0,66.05454
7991,56,42.0,65.625
8082,57,63.0,65.57895
8180,58,21.0,64.81035
8300,59,42.0,64.42373
8342,60,21.0,63.7
8474,61,84.0,64.03278
8615,62,21.0,63.33871
8780,63,84.0,63.666668
8977,64,84.0,63.984375
9138,65,105.0,64.61539
9385,66,147.0,65.86364
9478,67,42.0,65.50746
9529,68,0.0,64.54412
9589,69,21.0,63.913044
9687,70,63.0,63.9
9836,71,84.0,64.1831
10090,72,105.0,64.75
10220,73,21.0,64.15069
10425,74,147.0,65.27027
10590,75,0.0,64.4
10786,76,0.0,63.55263
10841,77,0.0,62.727272
11060,78,105.0,63.26923
11297,79,84.0,63.531647
11553,80,63.0,63.525
11766,81,63.0,63.51852
11899,82,21.0,63.0
12072,83,0.0,62.240963
12219,84,42.0,62.0
12360,85,105.0,62.505882
12533,86,21.0,62.023254
12658,87,21.0,61.551723
12982,88,84.0,61.80682
13211,89,42.0,61.58427
13592,90,126.0,62.3
