timestep,episode,reward,mean_reward
1816,1,315.0,315.0
3865,2,420.0,367.5
6921,3,378.0,371.0
14121,4,504.0,404.25
19856,5,105.0,344.4
23257,6,84.0,301.0
29281,7,315.0,303.0
31923,8,210.0,291.375
39761,9,693.0,336.0
43064,10,231.0,325.5
47841,11,756.0,364.63635
52457,12,693.0,392.0
54914,13,357.0,389.30768
57392,14,462.0,394.5
59569,15,252.0,385.0
61665,16,252.0,376.6875
63418,17,189.0,365.64706
66753,18,525.0,374.5
69017,19,315.0,371.3684
72520,20,294.0,367.5
74945,21,420.0,370.0
77713,22,357.0,369.4091
83161,23,588.0,378.91306
84978,24,168.0,370.125
87201,25,315.0,367.92
88954,26,189.0,361.03845
92905,27,399.0,362.44446
94699,28,189.0,356.25
97585,29,273.0,353.3793
