timestep,episode,reward,length,mean_reward,mean_length
3256,1,525.0,3256,525.0,3256.0
5072,2,231.0,1816,378.0,2536.0
7337,3,420.0,2265,392.0,2445.6666666666665
9602,4,189.0,2265,341.25,2400.5
11995,5,294.0,2393,331.8,2399.0
13300,6,231.0,1305,315.0,2216.6666666666665
15885,7,357.0,2585,321.0,2269.285714285714
18534,8,336.0,2649,322.875,2316.75
21695,9,399.0,3161,331.33334,2410.5555555555557
24280,10,399.0,2585,338.1,2428.0
27057,11,294.0,2777,334.0909,2459.7272727272725
30410,12,567.0,3353,353.5,2534.1666666666665
32675,13,252.0,2265,345.69232,2513.4615384615386
34556,14,294.0,1881,342.0,2468.285714285714
36095,15,168.0,1539,330.4,2406.3333333333335
38657,16,168.0,2562,320.25,2416.0625
41089,17,231.0,2432,315.0,2417.0
44793,18,546.0,3704,327.83334,2488.5
47569,19,252.0,2776,323.8421,2503.6315789473683
49641,20,273.0,2072,321.3,2482.05
52674,21,273.0,3033,319.0,2508.285714285714
55291,22,294.0,2617,317.86365,2513.2272727272725
57876,23,315.0,2585,317.73914,2516.3478260869565
60493,24,294.0,2617,316.75,2520.5416666666665
62031,25,189.0,1538,311.64,2481.24
65512,26,441.0,3481,316.6154,2519.6923076923076
67841,27,231.0,2329,313.44446,2512.6296296296296
70874,28,462.0,3033,318.75,2531.214285714286
73587,29,441.0,2713,322.9655,2537.4827586206898
75510,30,147.0,1923,317.1,2517.0
78191,31,399.0,2681,319.74194,2522.2903225806454
80424,32,189.0,2233,315.65625,2513.25
83521,33,420.0,3097,318.81818,2530.939393939394
85978,34,189.0,2457,315.0,2528.764705882353
88819,35,273.0,2841,313.8,2537.6857142857143
91532,36,273.0,2713,312.66666,2542.5555555555557
93713,37,273.0,2181,311.5946,2532.7837837837837
96234,38,273.0,2521,310.57895,2532.4736842105262
99434,39,357.0,3200,311.76923,2549.5897435897436
103394,40,378.0,3960,313.425,2584.85
105723,41,231.0,2329,311.41464,2578.609756097561
109052,42,357.0,3329,312.5,2596.4761904761904
111636,43,210.0,2584,310.11627,2596.186046511628
114349,44,336.0,2713,310.70456,2598.840909090909
116613,45,273.0,2264,309.86667,2591.4
119006,46,189.0,2393,307.23914,2587.086956521739
122614,47,441.0,3608,310.0851,2608.808510638298
125967,48,231.0,3353,308.4375,2624.3125
128551,49,336.0,2584,309.0,2623.4897959183672
130368,50,210.0,1817,307.02,2607.36
132889,51,336.0,2521,307.58823,2605.6666666666665
135729,52,189.0,2840,305.30768,2610.173076923077
138634,53,378.0,2905,306.67926,2615.735849056604
141539,54,231.0,2905,305.27777,2621.0925925925926
143333,55,189.0,1794,303.16364,2606.0545454545454
145770,56,315.0,2437,303.375,2603.035714285714
148331,57,315.0,2561,303.57895,2602.2982456140353
150692,58,336.0,2361,304.13794,2598.137931034483
153340,59,399.0,2648,305.74576,2598.9830508474574
156181,60,252.0,2841,304.85,2603.016666666667
158190,61,147.0,2009,302.2623,2593.27868852459
159814,62,168.0,1624,300.09677,2577.6451612903224
162527,63,294.0,2713,300.0,2579.7936507936506
165304,64,336.0,2777,300.5625,2582.875
167505,65,189.0,2201,298.84616,2577.0
169770,66,189.0,2265,297.18182,2572.2727272727275
172099,67,273.0,2329,296.8209,2568.6417910447763
175227,68,210.0,3128,295.54413,2576.8676470588234
177406,69,168.0,2179,293.69565,2571.1014492753625
178945,70,189.0,1539,292.2,2556.3571428571427
181402,71,273.0,2457,291.92957,2554.957746478873
184498,72,231.0,3096,291.08334,2562.472222222222
186954,73,189.0,2456,289.68494,2561.013698630137
189003,74,231.0,2049,288.8919,2554.0945945945946
191956,75,441.0,2953,290.92,2559.4133333333334
194413,76,273.0,2457,290.6842,2558.065789473684
197669,77,462.0,3256,292.9091,2567.12987012987
